City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
272,El Bagre,CO,7.5927,-74.8086,96.55,41,82,3.38,broken clouds
273,Klyavlino,RU,54.2649,52.0267,62.15,57,99,3.91,overcast clouds
274,Kohtla-Jarve,EE,59.3986,27.2731,58.73,68,60,3.38,broken clouds
275,Pinyug,RU,60.251,47.7842,49.73,98,100,6.51,light rain
276,Springdale,US,36.1867,-94.1288,92.19,58,40,5.01,scattered clouds
277,Marawi,PH,7.9986,124.2928,71.65,88,99,6.13,overcast clouds
278,Shahrud,IR,36.4182,54.9763,78.76,49,0,6.71,clear sky
279,Sangar,RU,63.9242,127.4739,65.21,73,100,1.32,overcast clouds
280,Bethanien,NA,-26.502,17.1583,46.04,27,0,9.15,clear sky
281,Ziro,IN,27.6333,93.8333,59.86,95,85,1.36,overcast clouds
282,Heze,CN,35.2431,115.4411,74.41,92,100,6.02,overcast clouds
283,Souillac,MU,-20.5167,57.5167,67.35,74,39,8.9,scattered clouds
284,Sitka,US,57.0531,-135.33,57.09,88,90,10.36,light rain
285,Taunggyi,MM,20.7833,97.0333,63.34,98,100,2.39,overcast clouds
286,Ponta Delgada,PT,37.7333,-25.6667,70.52,88,40,11.5,scattered clouds
287,West Odessa,US,31.8424,-102.4988,96.84,29,5,17.69,clear sky
288,Teya,RU,60.3778,92.6267,58.03,88,3,1.83,clear sky
289,Hukuntsi,BW,-24.0,21.75,40.8,21,0,8.46,clear sky
290,Tiksi,RU,71.6872,128.8694,43.05,87,97,5.19,overcast clouds
291,Gweta,BW,-20.1833,25.2333,52.54,22,0,10.33,clear sky
292,Comodoro Rivadavia,AR,-45.8667,-67.5,50.7,40,0,14.83,clear sky
293,Nizwa,OM,22.9333,57.5333,89.47,34,100,1.86,overcast clouds
294,Meulaboh,ID,4.1363,96.1285,76.93,88,100,4.12,overcast clouds
295,Kailua,US,21.4022,-157.7394,80.15,65,53,21.59,broken clouds
296,Tabuk,PH,17.4189,121.4443,76.68,86,100,3.38,overcast clouds
297,San Isidro,PE,-12.1167,-77.05,63.25,85,46,12.12,scattered clouds
298,Kieta,PG,-6.2167,155.6333,79.93,80,34,4.38,scattered clouds
